,EV,TS,P,Type,E1,D3,time1
98456,172359,600001,100000,29014,0.0002705370143,0.000270537,22721.50521
98478,379075,800001,100000,29014,0.0009049765512,0.000904977,7168.337037
98489,801340,700001,100000,29014,0.0001672519652,0.000167252,52818.26618
98490,870599,700001,100000,30014,0.0002017571109,0.000201757,24318.34104
98501,801341,600001,100000,29014,0.0008214380846,0.000821438,62997.72656
98502,590017,700001,100000,29014,0.001475501941,0.00235812,31208.04899
98506,311391,300001,100000,29014,0.00133406048,0.00133406,23257.46006
98522,172386,400001,100000,29014,0.001330268347,0.00133027,24090.98231
98530,520025,300001,100000,29014,0.00132979099,0.00132979,28616.51939
98535,731166,400001,100000,29014,0.00106138697,0.00106139,9771.26148
98543,449113,300001,100000,29014,0.001326210117,0.00132621,24362.32161
98545,940814,400001,100000,29014,0.0003613743371,0.000361374,4607.007604
98547,103166,500001,100000,29014,0.001742809114,0.00174281,3672.092468
98569,33717,200001,100000,29014,0.001340725221,0.00134073,5733.025674
98573,660693,200001,100000,29014,0.00133474877,0.00133475,8140.490826
98601,870632,700001,100000,30014,0.003095337282,0.00309534,2505.701726
98602,590028,400001,100000,29014,0.001332067259,0.00133207,23242.34328
98607,311439,200001,100000,29014,0.001328747658,0.00132875,10009.68389
98610,449140,400001,100000,29014,0.000247833243,0.000247833,2130.612563
98612,379127,200001,100000,29014,0.001334298269,0.00266125,10317.14137
98613,33737,500001,100000,29014,0.0003807203269,0.00038072,11699.2807
98618,660709,600001,100000,29014,0.0004968561499,0.000496856,395.7251129
98622,379135,700001,100000,29014,0.002846062527,0.0036391,11191.34227
98626,242722,600001,100000,29014,0.001267539496,0.00126754,44588.37597
98628,103191,600001,100000,29014,0.0003714766566,0.000371477,3574.164303
98630,311447,200001,100000,29014,0.001325286877,0.00132529,2158.60164
98634,660711,500001,100000,29014,0.001660805873,0.00166081,29664.19297
98645,870635,600001,100000,29014,0.001724308926,0.00172431,57809.70348
98649,731211,200001,100000,29014,0.001330916994,0.00133092,7731.835055
98653,801383,200001,100000,29014,0.001334680265,0.00133468,2291.314853
98655,311458,400001,100000,29014,7.584803023e-05,7.5848e-05,790.5150533
98675,660719,200001,100000,29014,0.001336157696,0.00133616,189.8244256
98686,660727,700001,100000,29014,0.001788054727,0.00178805,25752.55618
98687,870652,400001,100000,29014,0.000985401687,0.000985402,2052.85434
98706,103201,400001,100000,29014,0.001328298754,0.0013283,48434.96776
98707,242758,600001,100000,29014,0.002181182296,0.00218118,8543.215716
98709,801404,600001,100000,29014,0.0001927960969,0.000192796,39955.32407
98712,590074,200001,100000,29014,0.001322804594,0.0013228,3958.80507
98716,731245,500001,100000,29014,0.0002895619667,0.000289562,33607.63702
98721,660745,400001,100000,29014,0.0008157439513,0.000815744,1531.22697
98727,590083,200001,100000,29014,0.001328658806,0.00132866,30637.50051
98731,449186,200001,100000,29014,0.001317987343,0.00131799,13106.85374
98734,172482,200001,100000,29014,0.001325195839,0.0013252,17654.78647
98738,870677,200001,100000,29014,0.001332645035,0.00133265,1186.598477
98743,172486,500001,100000,29014,0.001048336156,0.00104834,17690.15436
98744,590088,200001,100000,29014,0.001337329871,0.00133733,7941.002131
98747,520115,600001,100000,29014,0.0006500347478,0.000650035,6596.817064
98756,940891,500001,100000,29014,0.001409369651,0.00140937,2622.046128
98761,449202,500001,100000,29014,0.001705954719,0.00170595,5139.857097
98771,801422,200001,100000,29014,0.001334924784,0.00133492,14925.20076
98797,940892,800001,100000,29014,0.000300362523,0.000300363,26700.49924
98804,590121,500001,100000,29014,0.001270602154,0.0012706,22628.77648
98813,379181,400001,100000,29014,0.0007480288493,0.000748029,4948.59373
98814,172487,400001,100000,29014,0.000624498347,0.000624498,4655.503391
98832,731289,400001,100000,29014,0.0004567872079,0.000456787,14501.04477
98833,660791,300001,100000,30014,0.002022178307,0.00202218,56435.69214
98837,731290,400001,100000,30014,0.0005886106208,0.000588611,11600.44995
98840,940897,500001,100000,29014,0.001170489243,0.00188516,13360.21357
98841,660795,400001,100000,29014,0.001166257199,0.00116626,13946.05429
98846,311511,300001,100000,29014,0.00132413595,0.00132414,22815.88144
98856,172490,800001,100000,29014,0.002685614511,0.00268561,14256.28071
98857,660805,1000001,100000,29014,0.003167665877,0.00316767,22984.84518
98862,311516,200001,100000,29014,0.001326795773,0.0013268,44623.30662
98866,33818,200001,100000,29014,0.001347334074,0.00134733,8892.809422
98868,590125,200001,100000,29014,0.001330895613,0.0013309,7548.676691
98874,449227,500001,100000,29014,0.001193279647,0.00119328,4742.085282
98878,940911,400001,100000,29014,0.001575422888,0.00157542,32598.83391
98882,520156,500001,100000,29014,0.0005470064182,0.000547006,9500.027202
98906,311537,500001,100000,29014,0.001208289295,0.00120829,970.0614906
98908,33836,700001,100000,29014,0.001359206391,0.00135921,30697.17583
98910,870755,600001,100000,29014,0.001493958998,0.00149396,7876.383784
98977,870770,400001,100000,29014,0.0004504924701,0.000450492,5936.026024
98980,242888,600001,100000,29014,0.0002550543152,0.000255054,19653.82935
98983,801476,200001,100000,29014,0.00135032396,0.00135032,5296.209559
98987,940948,300001,100000,29014,0.001336282156,0.00133628,24382.34256
98989,311553,200001,100000,29014,0.001328857113,0.00132886,20764.72387
98998,660846,500001,100000,29014,0.001055056016,0.00238902,6289.119728
