,EV,TS,P,Type,E1,D3,time1
169901,3965639,700001,100000,41018,0.0003164090638,0.000316409,44341.02564
169920,4426166,200001,100000,37018,0.00113184349,0.00113184,313123.2438
169923,11345092,900001,100000,41018,0.0003888801395,0.00038888,217973.2793
169939,9031877,600001,100000,41018,0.0001902101548,0.00019021,63771.0317
169950,4733426,600001,100000,41018,3.453891965e-05,3.45389e-05,11787.37427
169970,2587721,600001,100000,41018,0.0003096687158,0.000309669,408458.8419
169988,6280634,600001,100000,41018,0.0004175874416,0.000417587,249041.0964
169991,5050002,700001,100000,41018,0.0002975902301,0.00029759,611132.0805
169995,1665641,1100001,100000,41018,0.0003130232553,0.000313023,22936.62012
170007,7341302,900001,100000,41018,0.001237094255,0.00123709,73169.79972
170010,13984280,500001,100000,37018,0.001314150386,0.00181611,425917.4115
170011,13830958,900001,100000,41018,0.0009684817688,0.00132696,74042.91982
170026,10108952,600001,100000,41018,0.0002195928326,0.000219593,413304.9706
170036,9645686,800001,100000,41018,0.0001453698123,0.000735648,608590.0663
170038,10730639,800001,100000,41018,0.001113841993,0.00111384,253437.4213
170049,3664309,600001,100000,41018,0.0007610592501,0.000761059,72310.26632
170053,430889,600001,100000,41018,0.0001414538384,0.000141454,81446.51655
170071,10263114,600001,100000,41018,0.0003113416562,0.000311342,188535.5142
170094,3205068,200001,100000,41018,0.0004942913394,0.000494291,328465.3422
170096,5201939,900001,100000,41018,0.0006533252868,0.000653325,102343.5739
170111,9800886,800001,100000,41018,0.002137702398,0.0021377,180529.2245
170113,281527,500001,100000,41018,0.0004553516008,0.000455352,249200.608
170129,14138275,700001,100000,41018,0.0004218933024,0.000421893,488313.182
170139,15372085,600001,100000,41018,0.000238652212,0.000238652,37806.88709
170141,14296073,500001,100000,41018,0.000109111886,0.000109112,510037.4629
170156,5510813,1000001,100000,41018,4.498711519e-05,4.49871e-05,480142.3246
170158,2128304,800001,100000,41018,0.0004733829991,0.000473383,191333.9547
170175,7491819,600001,100000,41018,0.0006537072824,0.000653707,2332.307052
170205,2128308,700001,100000,41018,0.0001952175728,0.000195218,76272.22387
170230,10883676,900001,100000,41018,0.0001421640735,0.000142164,147161.3722
170231,5510847,500001,100000,41018,0.0002085325545,0.000208533,131656.2124
170237,4733599,700001,100000,41018,0.0006082889222,0.000608289,137204.1799
170241,589379,400001,100000,41018,0.0001429297677,0.00014293,118289.5763
170248,11655769,700001,100000,41018,0.001751577931,0.00175158,227124.4679
170253,12583789,800001,100000,41018,0.0007110337638,0.000711034,567674.7476
170268,15215820,600001,100000,41018,0.0002170256399,0.000217026,134102.9507
170270,10730781,400001,100000,41018,4.734518577e-05,4.73452e-05,180243.2724
170285,13518561,700001,100000,37018,0.003057060445,0.00305706,245435.5446
170297,11189153,200001,100000,41018,0.0004835157505,0.000483516,43460.29124
170327,2587800,500001,100000,41018,2.380743115e-05,2.38074e-05,497739.5831
170329,2434111,1200001,100000,41018,0.0003305880869,0.000330588,39078.0256
170334,7797223,400001,100000,41018,0.0004306226549,0.000430623,213881.2637
170340,13673000,900001,100000,41018,0.001017882647,0.00101788,3987.177811
170346,6586123,700001,100000,41018,0.0008794441563,0.000879444,45730.56914
170353,3819001,800001,100000,41018,0.000249430837,0.000249431,79763.79912
170363,11500864,700001,100000,41018,0.0004820766291,0.000482077,46532.14156
170368,7953694,500001,100000,41018,0.0001889979281,0.000188998,176529.4214
170372,1974544,700001,100000,41018,0.0001919904724,0.00019199,343514.309
170379,11964067,700001,100000,41018,0.0008316042332,0.000831604,162055.5092
170383,13209356,600001,100000,41018,0.001127776767,0.00112778,322106.1564
170408,4279744,700001,100000,41018,0.0001573863655,0.000157386,493263.6858
170419,8418788,400001,100000,41018,0.0003525550118,0.000650646,531731.0476
170421,9960535,600001,100000,41018,6.793148484e-05,6.79315e-05,172280.1038
170452,5202116,600001,100000,41018,9.763546862e-05,9.76355e-05,16665.04919
170455,4578898,800001,100000,41018,0.001229833205,0.00122983,758093.624
170461,281548,800001,100000,41018,0.0003599245234,0.000359925,105149.7239
170474,5665826,1000001,100000,41018,0.001211402498,0.0012114,174011.4939
170485,745096,800001,100000,41018,2.599175658e-05,2.59918e-05,401833.5028
170486,3966191,600001,100000,41018,0.0005061080511,0.000506108,37866.68512
170499,13673052,700001,100000,41018,0.0004218859435,0.000421886,518943.5918
170506,4733673,600001,100000,41018,0.0001944354258,0.000194435,164757.0284
170509,1820400,800001,100000,41018,0.001205364641,0.00120536,412584.4323
170524,5202118,600001,100000,41018,0.0005346117724,0.000534612,211600.1589
170528,5511073,700001,100000,41018,0.0002723608209,0.000997312,212814.0417
170542,11038742,500001,100000,41018,3.797477089e-05,0.000158303,291046.1718
170545,14910761,500001,100000,37018,0.0007680335477,0.000768034,116957.5533
170574,15372432,500001,100000,41018,5.183725583e-05,5.18373e-05,399011.631
170583,9495463,800001,100000,41018,0.0004178411983,0.000417841,503378.7612
170595,3966195,400001,100000,41018,0.0001706993129,0.000170699,351465.6234
170601,281660,600001,100000,41018,0.0002045786301,0.000204579,76416.39588
170617,2895903,400001,100000,41018,0.0001793593094,0.000179359,378437.7596
170628,10109147,600001,100000,41018,0.0001125335967,0.000112534,119653.2159
170638,14910835,500001,100000,41018,0.0001806327017,0.000180633,384173.3992
170645,431230,500001,100000,41018,0.0002460417492,0.000246042,259797.8701
170658,8107625,200001,100000,41018,0.0004925939636,0.000492594,203623.8111
170673,14758356,700001,100000,41018,0.0005819529337,0.000784063,235404.9629
170681,1049914,500001,100000,41018,0.000406200577,0.000406201,181277.0191
170690,4124236,800001,100000,41018,0.0006543724552,0.000654372,104135.1675
170725,12429003,700001,100000,41018,0.001346376099,0.00134638,541248.879
170729,6733236,500001,100000,41018,0.0001921087883,0.000192109,134224.4034
170737,11964323,600001,100000,41018,0.0004425378469,0.000442538,178125.9472
170743,3664642,600001,100000,41018,0.0006068661707,0.000606866,316372.3727
170756,7341528,900001,100000,41018,0.001772473848,0.00177247,123379.2944
170790,3054413,800001,100000,41018,0.0004170683348,0.000417068,113433.545
170801,1509527,700001,100000,41018,0.001312204299,0.0013122,5527.669839
170807,9186059,500001,100000,41018,0.0002618525244,0.000261853,7845.785174
170817,7644292,600001,100000,37018,0.000245456092,0.000245456,266419.4135
170827,4426797,600001,100000,41018,0.0001988622416,0.000198862,63887.84175
170833,15065919,700001,100000,41018,0.0003048675598,0.000304868,16048.17465
170834,12897022,400001,100000,41018,0.0002258791442,0.000225879,195670.4412
170843,7797573,600001,100000,41018,0.0003863740764,0.000386374,122481.3634
170844,7492465,400001,100000,41018,0.0001318192694,0.000131819,204902.347
170853,5817027,500001,100000,41018,0.0002649073651,0.000264907,47512.90212
170857,14758364,200001,100000,41018,0.000489257049,0.000489257,259352.4662
170862,281700,700001,100000,41018,5.109425246e-06,5.10943e-06,313451.6196
170866,15372583,1000001,100000,41018,0.0004784169383,0.000478417,35689.79007
170867,3357894,500001,100000,41018,0.0003850636799,0.000385064,43786.98549
170870,8879430,1000001,100000,41018,0.00085380207,0.000853802,184200.5207
170874,10263705,600001,100000,41018,0.001577341296,0.00157734,274213.8073
170876,13985112,900001,100000,41018,0.001794282309,0.00253041,119637.6676
170883,14454057,400001,100000,41018,4.920007847e-05,0.000468003,84184.22151
170886,4280088,800001,100000,41018,7.451030535e-05,7.45103e-05,439509.3788
170887,3054424,700001,100000,41018,0.0001927096881,0.00019271,7699.249396
170927,1666209,500001,100000,41018,0.0002384803604,0.00023848,442891.6516
170935,2277105,500001,100000,41018,9.620534153e-05,9.62053e-05,106516.7593
170963,8107806,500001,100000,41018,0.0001242363008,0.000124236,272258.5626
170965,3819216,1000001,100000,41018,0.0005416722199,0.000541672,494688.2751
170967,2741973,1000001,100000,41018,0.0002379562793,0.000237956,99864.98037
170969,281701,400001,100000,41018,0.0001274157194,0.000127416,207495.6277
170971,9032817,600001,100000,41018,0.0006502106851,0.000650211,588501.2811
170977,13831838,800001,100000,41018,0.0002927263917,0.000292726,148515.8777
170980,11038982,700001,100000,41018,0.0004196959425,0.000419696,663620.4563
170983,14296612,1100001,100000,41018,0.0004675377103,0.000467538,186707.8906
171001,2434275,500001,100000,41018,0.0003996152071,0.000399615,499812.5818
171010,11655971,700001,100000,41018,0.0003186393973,0.000318639,67409.74412
171020,5817101,400001,100000,41018,0.0002964386444,0.000296439,86267.13775
171058,3966326,400001,100000,41018,4.667555465e-05,4.66756e-05,38143.23246
171065,894081,400001,100000,41018,0.0002044526129,0.000204453,160843.496
171066,1975087,700001,100000,41018,0.0003147134741,0.000314713,261604.2892
171068,7045086,900001,100000,41018,0.0008400172155,0.000840017,185186.717
171077,15066120,800001,100000,41018,0.0004243961857,0.0014854,183469.1776
171082,6120127,600001,100000,41018,0.0001714524899,0.000171452,50744.76439
171094,5969822,1100001,100000,41018,0.001189263355,0.00118926,92989.44059
171103,7954119,1000001,100000,41018,0.001644474815,0.00164447,13192.36367
171125,4734044,800001,100000,41018,0.0002898937925,0.000289894,99705.00845
171133,13519383,800001,100000,41018,0.0003310135681,0.000331014,190284.1418
171149,9495955,700001,100000,41018,0.0008665127484,0.000866513,203639.6848
171154,3510790,700001,100000,41018,0.0004475503108,0.00044755,48759.82484
