,EV,TS,P,Type,E1,D3,time1
69992,6199692,700001,100000,41018,0.0002200900564,0.0002200900564,136992.8796
70686,6200113,800001,100000,41018,0.0001011411136,0.0001011411136,528591.2734
71111,6200194,400001,100000,41018,0.0004426848481,0.0004426848481,381856.0685
71507,6200464,600001,100000,41018,0.0005031619273,0.0005031619273,758513.6477
72140,6201057,700001,100000,41018,2.658389304e-05,2.658389304e-05,33169.3434
72885,6201664,800001,100000,41018,0.0004312370616,0.0004312370616,383268.2711
73934,6202265,600001,100000,41018,7.136286954e-05,7.136286954e-05,336116.7134
74866,6203136,500001,100000,41018,5.47042399e-05,5.47042399e-05,147404.3427
75084,6203204,900001,100000,41018,0.0007532409932,0.0007532409932,5515.942489
75975,6203982,700001,100000,41018,0.0003686289334,0.0003686289334,461231.8527
76703,6204648,700001,100000,41018,0.0005302932381,0.0005302932381,93230.79313
77098,6205007,600001,100000,41018,0.0005824970643,0.0005824970643,454699.9139
77384,6205076,500001,100000,41018,0.0002495915373,0.0002495915373,22352.32408
78189,6205852,500001,100000,41018,0.0001256508841,0.0001256508841,211084.981
79194,6206678,600001,100000,41018,0.0002681269253,0.0002681269253,402352.7876
79395,6206758,600001,100000,41018,0.0006840155077,0.0006840155077,245184.7226
80374,6207501,600001,100000,41018,0.000782188784,0.000782188784,430886.7699
80917,6207664,500001,100000,41018,0.0002143260556,0.0002143260556,43875.40699
80965,6207693,700001,100000,41018,0.000248535832,0.000248535832,215613.217
81420,6207925,500001,100000,41018,0.0005813014706,0.0005813014706,561001.3874
82210,6208564,500001,100000,41018,0.0008504241879,0.0008504241879,351567.6715
83325,6209548,700001,100000,41018,0.001016765742,0.001016765742,239691.7417
84219,6210268,400001,100000,37018,0.0004888537738,0.0004888537738,323423.72
86068,6212093,700001,100000,41018,0.0008150722313,0.0008150722313,71339.80565
87027,6212754,700001,100000,41018,0.000875041362,0.000875041362,46243.3747
87644,6213054,700001,100000,41018,0.0003221810283,0.0003221810283,24514.36192
88074,6213317,600001,100000,41018,0.0004047358254,0.0004047358254,523049.9338
89184,6214319,800001,100000,41018,0.0004005845568,0.0004005845568,48649.82794
91203,6215989,200001,100000,41018,0.0004818951779,0.0004818951779,176599.5236
92599,6217271,400001,100000,41018,0.0003222851849,0.0003222851849,90690.47106
93615,6218163,500001,100000,41018,0.0002687078875,0.0002687078875,49933.73119
94764,6219172,400001,100000,41018,0.000236765386,0.000236765386,345141.0929
95704,6220075,700001,100000,41018,0.0002838055961,0.0002838055961,111460.9144
96310,6220544,800001,100000,41018,9.823895986e-05,9.823895986e-05,56671.99969
99771,6223949,600001,100000,41018,0.0002713139297,0.0002713139297,232375.3209
100147,6224289,600001,100000,41018,0.000103764027,0.000103764027,156832.4322
100630,6224688,700001,100000,41018,0.0001964975997,0.0001964975997,343047.7939
