K 	 40-K 	 19	 40	    0.0117(1)       	    30(4)           	1.0000	  490
Ca	 40-Ca	 20	 40	   96.94(16)        	    0.41(2)         	1.0010	   49
K 	 41-K 	 19	 41	    6.7302(44)      	    1.45(3)         	1.0010	  638
Ca	 42-Ca	 20	 42	    0.647(23)       	    0.68(7)         	1.0010	   44
Ca	 43-Ca	 20	 43	    0.135(10)       	    6.2(6)          	1.0010	  129
Ca	 44-Ca	 20	 44	    2.09(11)        	    0.88(5)         	1.0010	   41
Sc	 45-Sc	 21	 45	   100              	   27.2(2)          	1.0020	  440
Ca	 46-Ca	 20	 46	    0.004(3)        	    0.72(3)         	1.0000	   10
Ti	 46-Ti	 22	 46	    8.25(3)         	    0.59(18)        	1.0010	   23
Ti	 47-Ti	 22	 47	    7.44(2)         	    1.52(11)        	1.0010	  175
Ca	 48-Ca	 20	 48	    0.187(21)       	    1.09(14)        	1.0010	   15
Ti	 48-Ti	 22	 48	   73.72(3)         	    7.88(25)        	1.0020	   92
Ti	 49-Ti	 22	 49	    5.41(2)         	    1.79(12)        	1.0010	   88
Ti	 50-Ti	 22	 50	    5.18(2)         	    0.179(3)        	1.0010	   19
V 	 50-V 	 23	 50	    0.250(4)        	    21(4)           	 .9990	  328
Cr	 50-Cr	 24	 50	    4.345(13)       	   15.9(2)          	1.0000	   64
V 	 51-V 	 23	 51	   99.750(4)        	    4.92(4)         	1.0010	  309
Cr	 52-Cr	 24	 52	   83.789(18)       	    0.76(6)         	1.0000	   16
Cr	 53-Cr	 24	 53	    9.501(17)       	   18.2(15)         	1.0000	   90
Cr	 54-Cr	 24	 54	    2.365(7)        	    0.36(4)         	1.0000	   38
Fe	 54-Fe	 26	 54	    5.845(35)       	    2.25(18)        	1.0010	   33
Mn	 55-Mn	 25	 55	   100              	   13.36(5)         	1.0000	  126
Fe	 56-Fe	 26	 56	   91.754(36)       	    2.59(14)        	1.0000	  193
Fe	 57-Fe	 26	 57	    2.119(10)       	    2.5(3)          	1.0010	   35
Fe	 58-Fe	 26	 58	    0.282(4)        	    1.30(3)         	1.0020	   67
Ni	 58-Ni	 28	 58	   68.0769(89)      	    4.5(2)          	1.0000	  236
Co	 59-Co	 27	 59	   100              	   37.18(6)         	1.0000	  340
Ni	 60-Ni	 28	 60	   26.2231(77)      	    2.9(2)          	1.0000	  137
Ni	 61-Ni	 28	 61	    1.1399(6)       	    2.5(8)          	1.0000	   64
Ni	 62-Ni	 28	 62	    3.6345(17)      	   14.5(3)          	1.0000	   53
Cu	 63-Cu	 29	 63	   69.17(3)         	    4.52(2)         	1.0010	  305
Ni	 64-Ni	 28	 64	    0.9256(9)       	    1.63(7)         	1.0000	   35
Zn	 64-Zn	 30	 64	   48.63(60)        	    1.1(1)          	1.0010	   78
Cu	 65-Cu	 29	 65	   30.83(3)         	    2.17(3)         	1.0020	  350
Zn	 66-Zn	 30	 66	   27.90(27)        	    0.62(6)         	1.0000	   17
Zn	 67-Zn	 30	 67	    4.10(13)        	    9.5(14)         	1.0000	  175
Zn	 68-Zn	 30	 68	   18.75(51)        	    1.07(10)        	1.0000	   33
Ga	 69-Ga	 31	 69	   60.108(9)        	    1.68(7)         	1.0000	   66
Zn	 70-Zn	 30	 70	    0.62(3)         	    0.091(5)        	1.0000	   79
Ge	 70-Ge	 32	 70	   20.84(87)        	    3.45(16)        	1.0000	   84
Ga	 71-Ga	 31	 71	   39.892(9)        	    4.73(15)        	1.0010	  245
Ge	 72-Ge	 32	 72	   27.54(34)        	    0.95(11)        	1.0000	   47
Ge	 73-Ge	 32	 73	    7.73(5)         	   14.4(4)          	1.0000	  603
Ge	 74-Ge	 32	 74	   36.28(73)        	    0.53(5)         	1.0000	   47
Se	 74-Se	 34	 74	    0.89(4)         	   51.8(12)         	1.0010	  142
As	 75-As	 33	 75	   100              	    4.23(8)         	1.0000	  348
Ge	 76-Ge	 32	 76	    7.61(38)        	    0.14(2)         	1.0000	  196
Se	 76-Se	 34	 76	    9.37(29)        	    85(7)           	1.0000	  456
Se	 77-Se	 34	 77	    7.63(16)        	    42(4)           	1.0000	  215
Se	 78-Se	 34	 78	   23.77(28)        	    0.430(22)       	1.0000	   37
Kr	 78-Kr	 36	 78	    0.35(1)         	    4.7(7)          	1.0000	    1
Br	 79-Br	 35	 79	   50.69(7)         	   10.32(13)        	1.0000	  257
Se	 80-Se	 34	 80	   49.61(41)        	    0.61(5)         	1.0000	   71
Kr	 80-Kr	 36	 80	    2.28(6)         	   11.5(5)          	1.0000	    1
Br	 81-Br	 35	 81	   49.31(7)         	    2.36(5)         	1.0000	  181
Se	 82-Se	 34	 82	    8.73(22)        	    0.044(3)        	1.0000	    0
Kr	 82-Kr	 36	 82	   11.58(14)        	    19(4)           	1.0000	    2
Kr	 83-Kr	 36	 83	   11.49(6)         	   202(10)          	 .9950	   75
Kr	 84-Kr	 36	 84	   57.00(4)         	    0.111(15)       	1.0000	    7
Sr	 84-Sr	 38	 84	    0.56(1)         	    0.62(6)         	1.0000	    5
