Silicon: 42	192.984	0.164342	0	0.0194841
Silicon: 6	380.727	0.180283	0	0.0145399
Silicon: 7	715.354	0.196765	0	0.0111544
Silicon: 1	958.34	0.205075	0	0.0098951
Silicon: 0	1330.43	0.214993	0	0.0086799
Silicon: 13	2016.18	0.228623	0	0.00740432
Germanium: 29	234.423	0.142563	0	0.0154728
Germanium: 66	236.307	0.142715	0	0.0154192
Germanium: 10	254.506	0.144128	0	0.0149316
Germanium: 63	280.132	0.145976	0	0.0143252
Germanium: 24	300.615	0.147349	0	0.0138958
Germanium: 23	303.31	0.147524	0	0.0138424
Germanium: 40	408.656	0.153471	0	0.0121803
Germanium: 34	553.304	0.159758	0	0.0107077
Germanium: 32	669.27	0.163835	0	0.00988276
